Date:  17:39, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
103  ,7.730e+04   ,391.65  ,913.25  ,1277.9
104  ,2.022e+04   ,385.49  ,906.95  ,1277.9
105  ,7.652e+02   ,387.28  ,907.51  ,1277.9
106  ,1.018e+03   ,390.24  ,892.19  ,1277.9
107  ,3.160e+02   ,391.93  ,892.72  ,1277.9
108  ,4.303e+02   ,392.38  ,891.29  ,1277.9
109  ,6.171e+02   ,390.6  ,890.73  ,1277.9
110  ,2.384e+02   ,396.61  ,871.66  ,1277.9
111  ,1.327e+02   ,398.39  ,872.22  ,1277.9
112  ,2.139e+01   ,398.84  ,870.79  ,1277.9
113  ,1.902e+02   ,397.15  ,870.26  ,1277.9
114  ,1.334e+01   ,403.55  ,855.94  ,1277.9
115  ,6.060e+01   ,402.48  ,853.06  ,1277.9
116  ,4.341e+00   ,410.11  ,828.86  ,1277.9
117  ,6.874e+00   ,406.29  ,827.66  ,1277.9
118  ,4.520e+02   ,373.76  ,930.83  ,1277.9
119  ,7.426e+04   ,600.82  ,922.57  ,1275.9
120  ,7.886e+04   ,601.82  ,922.57  ,1275.9
121  ,3.350e+06   ,630.82  ,929.43  ,1305.2
122  ,5.347e+04   ,822.2  ,929.43  ,1305.2
123  ,6.770e+03   ,823.63  ,927.48  ,1305.2
124  ,4.961e+03   ,817.9  ,909.33  ,1305.2
125  ,1.273e+02   ,812.04  ,890.73  ,1305.2
126  ,7.767e+01   ,806.03  ,871.66  ,1305.2
127  ,9.813e+01   ,800.16  ,853.06  ,1305.2
128  ,1.558e+00   ,792.53  ,828.86  ,1305.2
129  ,2.526e+00   ,796.35  ,827.66  ,1305.2
130  ,5.188e+03   ,828.88  ,930.83  ,1305.2
131  ,5.675e+03   ,826.97  ,933.43  ,1305.2
132  ,6.035e+03   ,375.67  ,933.43  ,1305.2
133  ,5.178e+03   ,373.76  ,930.83  ,1305.2
134  ,4.001e+00   ,406.29  ,827.66  ,1305.2
135  ,2.191e+00   ,410.11  ,828.86  ,1305.2
136  ,9.569e+01   ,402.48  ,853.06  ,1305.2
137  ,8.008e+01   ,396.61  ,871.66  ,1305.2
138  ,1.191e+02   ,390.6  ,890.73  ,1305.2
139  ,4.856e+03   ,384.73  ,909.33  ,1305.2
140  ,6.672e+03   ,379.01  ,927.48  ,1305.2
141  ,5.878e+04   ,380.44  ,929.43  ,1305.2
142  ,3.508e+06   ,571.82  ,929.43  ,1305.2
143  ,2.956e+05   ,600.82  ,926.57  ,1276.8
144  ,3.040e+05   ,601.82  ,926.57  ,1276.8
145  ,5.956e+05   ,601.82  ,926.57  ,1288.7
146  ,5.331e+05   ,600.82  ,926.57  ,1288.7
147  ,1.453e+05   ,601.82  ,929.25  ,1277.5
148  ,2.138e+05   ,600.82  ,929.25  ,1277.5
149  ,1.813e+05   ,601.82  ,922.57  ,1286.9
150  ,7.189e+04   ,600.82  ,922.57  ,1286.9
151  ,3.601e+04   ,381.66  ,925.08  ,1283.4
152  ,3.010e+04   ,382.35  ,924.56  ,1282.9
153  ,1.553e+05   ,390.24  ,918.78  ,1282.9
154  ,7.523e+04   ,381.62  ,925.22  ,1288.3
155  ,3.256e+04   ,384.23  ,927.13  ,1282.9
156  ,4.207e+04   ,383.53  ,927.63  ,1283.4
157  ,7.855e+04   ,383.38  ,927.63  ,1288.3
158  ,1.583e+05   ,392.12  ,921.34  ,1282.9
159  ,1.440e+05   ,404.26  ,928.43  ,1283.4
160  ,1.199e+05   ,404.25  ,927.93  ,1282.9
161  ,5.950e+04   ,404.25  ,913.58  ,1282.9
162  ,3.559e+05   ,404.39  ,928.43  ,1290.4
163  ,4.399e+04   ,380.08  ,928.7  ,1290
164  ,3.927e+04   ,379.6  ,928.05  ,1290
165  ,3.586e+04   ,380.48  ,925.26  ,1288.8
166  ,1.502e+05   ,391.31  ,917.31  ,1282
167  ,1.369e+05   ,393.84  ,920.76  ,1282
168  ,5.815e+04   ,383  ,928.7  ,1288.8
169  ,2.026e+06   ,451.43  ,927.93  ,1282.9
170  ,2.092e+06   ,451.42  ,928.43  ,1283.4
171  ,5.485e+06   ,451.3  ,928.43  ,1290.4
172  ,3.917e+06   ,451.43  ,913.58  ,1282.9
173  ,2.081e+05   ,429.43  ,927.93  ,1282.9
174  ,1.908e+05   ,429.42  ,928.43  ,1283.4
175  ,1.113e+05   ,429.3  ,928.43  ,1290.4
176  ,8.508e+05   ,429.43  ,913.58  ,1282.9
177  ,1.408e+06   ,448.26  ,928.43  ,1283.4
178  ,1.337e+06   ,448.25  ,927.93  ,1282.9
179  ,3.846e+06   ,448.25  ,913.58  ,1282.9
180  ,2.542e+06   ,448.39  ,928.43  ,1290.4
181  ,9.922e+04   ,407.43  ,927.93  ,1282.9
182  ,8.475e+04   ,407.42  ,928.43  ,1283.4
183  ,1.512e+05   ,407.3  ,928.43  ,1290.4
184  ,2.821e+05   ,407.43  ,913.58  ,1282.9
185  ,7.356e+04   ,426.26  ,928.43  ,1283.4
186  ,7.068e+04   ,426.25  ,927.93  ,1282.9
187  ,5.095e+05   ,426.25  ,913.58  ,1282.9
188  ,3.073e+05   ,426.39  ,928.43  ,1290.4
189  ,1.647e+06   ,443.84  ,903.82  ,1281.9
190  ,4.246e+06   ,448.35  ,909.63  ,1281.9
191  ,1.325e+05   ,403.25  ,927.93  ,1281.9
