Date:  17:47, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
103  ,3.507e+06   ,391.65  ,913.25  ,1277.9
104  ,1.385e+07   ,385.49  ,906.95  ,1277.9
105  ,3.791e+06   ,387.28  ,907.51  ,1277.9
106  ,3.598e+06   ,390.24  ,892.19  ,1277.9
107  ,1.347e+06   ,391.93  ,892.72  ,1277.9
108  ,1.635e+06   ,392.38  ,891.29  ,1277.9
109  ,3.585e+06   ,390.6  ,890.73  ,1277.9
110  ,7.450e+05   ,396.61  ,871.66  ,1277.9
111  ,4.278e+05   ,398.39  ,872.22  ,1277.9
112  ,7.494e+04   ,398.84  ,870.79  ,1277.9
113  ,7.210e+05   ,397.15  ,870.26  ,1277.9
114  ,3.294e+04   ,403.55  ,855.94  ,1277.9
115  ,3.973e+05   ,402.48  ,853.06  ,1277.9
116  ,5.315e+04   ,410.11  ,828.86  ,1277.9
117  ,9.083e+04   ,406.29  ,827.66  ,1277.9
118  ,7.752e+04   ,373.76  ,930.83  ,1277.9
119  ,3.918e+03   ,600.82  ,922.57  ,1275.9
120  ,6.650e+03   ,601.82  ,922.57  ,1275.9
121  ,2.015e+05   ,630.82  ,929.43  ,1305.2
122  ,1.383e+03   ,822.2  ,929.43  ,1305.2
123  ,1.820e+02   ,823.63  ,927.48  ,1305.2
124  ,7.171e+01   ,817.9  ,909.33  ,1305.2
125  ,1.717e+00   ,812.04  ,890.73  ,1305.2
126  ,1.398e+00   ,806.03  ,871.66  ,1305.2
127  ,1.251e+00   ,800.16  ,853.06  ,1305.2
128  ,4.200e-02   ,792.53  ,828.86  ,1305.2
129  ,1.102e-01   ,796.35  ,827.66  ,1305.2
130  ,1.029e+02   ,828.88  ,930.83  ,1305.2
131  ,1.229e+02   ,826.97  ,933.43  ,1305.2
132  ,7.216e+05   ,375.67  ,933.43  ,1305.2
133  ,8.164e+05   ,373.76  ,930.83  ,1305.2
134  ,9.216e+04   ,406.29  ,827.66  ,1305.2
