Date:  19:56, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact (Left)(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
103  ,1.117e+03   ,391.65  ,913.25  ,1277.9
104  ,2.628e+02   ,385.49  ,906.95  ,1277.9
105  ,1.090e+01   ,387.28  ,907.51  ,1277.9
106  ,1.272e+01   ,390.24  ,892.19  ,1277.9
107  ,4.192e+00   ,391.93  ,892.72  ,1277.9
108  ,5.224e+00   ,392.38  ,891.29  ,1277.9
109  ,7.954e+00   ,390.6  ,890.73  ,1277.9
110  ,3.774e+00   ,396.61  ,871.66  ,1277.9
111  ,1.976e+00   ,398.39  ,872.22  ,1277.9
112  ,6.634e-01   ,398.84  ,870.79  ,1277.9
113  ,2.169e+00   ,397.15  ,870.26  ,1277.9
114  ,7.837e-01   ,403.55  ,855.94  ,1277.9
115  ,1.325e+00   ,402.48  ,853.06  ,1277.9
116  ,1.874e-01   ,410.11  ,828.86  ,1277.9
117  ,2.030e-01   ,406.29  ,827.66  ,1277.9
118  ,8.212e+00   ,373.76  ,930.83  ,1277.9
119  ,4.817e+03   ,600.82  ,922.57  ,1275.9
120  ,6.837e+03   ,601.82  ,922.57  ,1275.9
121  ,2.725e+05   ,630.82  ,929.43  ,1305.2
122  ,3.577e+06   ,822.2  ,929.43  ,1305.2
123  ,5.496e+06   ,823.63  ,927.48  ,1305.2
124  ,6.545e+06   ,817.9  ,909.33  ,1305.2
125  ,1.907e+06   ,812.04  ,890.73  ,1305.2
126  ,1.201e+06   ,806.03  ,871.66  ,1305.2
127  ,1.740e+06   ,800.16  ,853.06  ,1305.2
128  ,3.303e+04   ,792.53  ,828.86  ,1305.2
129  ,7.109e+04   ,796.35  ,827.66  ,1305.2
130  ,8.127e+05   ,828.88  ,930.83  ,1305.2
131  ,6.672e+05   ,826.97  ,933.43  ,1305.2
132  ,1.306e+02   ,375.67  ,933.43  ,1305.2
133  ,1.017e+02   ,373.76  ,930.83  ,1305.2
134  ,1.373e-01   ,406.29  ,827.66  ,1305.2
135  ,2.204e-01   ,410.11  ,828.86  ,1305.2
136  ,2.997e+00   ,402.48  ,853.06  ,1305.2
137  ,1.538e+00   ,396.61  ,871.66  ,1305.2
138  ,1.569e+00   ,390.6  ,890.73  ,1305.2
139  ,7.261e+01   ,384.73  ,909.33  ,1305.2
140  ,1.769e+02   ,379.01  ,927.48  ,1305.2
141  ,1.497e+03   ,380.44  ,929.43  ,1305.2
142  ,2.020e+05   ,571.82  ,929.43  ,1305.2
143  ,3.565e+04   ,600.82  ,926.57  ,1276.8
144  ,3.378e+04   ,601.82  ,926.57  ,1276.8
145  ,2.505e+04   ,601.82  ,926.57  ,1288.7
146  ,2.085e+04   ,600.82  ,926.57  ,1288.7
147  ,2.878e+04   ,601.82  ,929.25  ,1277.5
148  ,3.776e+04   ,600.82  ,929.25  ,1277.5
149  ,7.581e+03   ,601.82  ,922.57  ,1286.9
150  ,4.215e+03   ,600.82  ,922.57  ,1286.9
151  ,5.701e+02   ,381.66  ,925.08  ,1283.4
152  ,4.728e+02   ,382.35  ,924.56  ,1282.9
153  ,8.423e+02   ,390.24  ,918.78  ,1282.9
154  ,1.226e+03   ,381.62  ,925.22  ,1288.3
155  ,5.176e+02   ,384.23  ,927.13  ,1282.9
156  ,6.391e+02   ,383.53  ,927.63  ,1283.4
157  ,1.284e+03   ,383.38  ,927.63  ,1288.3
158  ,1.920e+03   ,392.12  ,921.34  ,1282.9
159  ,6.504e+03   ,404.26  ,928.43  ,1283.4
160  ,6.564e+03   ,404.25  ,927.93  ,1282.9
161  ,8.004e+03   ,404.25  ,913.58  ,1282.9
162  ,4.755e+03   ,404.39  ,928.43  ,1290.4
163  ,6.285e+02   ,380.08  ,928.7  ,1290
164  ,5.730e+02   ,379.6  ,928.05  ,1290
165  ,5.948e+02   ,380.48  ,925.26  ,1288.8
166  ,4.983e+02   ,391.31  ,917.31  ,1282
167  ,1.516e+03   ,393.84  ,920.76  ,1282
168  ,7.753e+02   ,383  ,928.7  ,1288.8
169  ,1.284e+05   ,451.43  ,927.93  ,1282.9
170  ,1.121e+05   ,451.42  ,928.43  ,1283.4
171  ,1.201e+05   ,451.3  ,928.43  ,1290.4
172  ,1.988e+05   ,451.43  ,913.58  ,1282.9
173  ,4.226e+04   ,429.43  ,927.93  ,1282.9
174  ,4.824e+04   ,429.42  ,928.43  ,1283.4
175  ,2.274e+05   ,429.3  ,928.43  ,1290.4
176  ,1.246e+05   ,429.43  ,913.58  ,1282.9
177  ,6.053e+04   ,448.26  ,928.43  ,1283.4
178  ,5.687e+04   ,448.25  ,927.93  ,1282.9
179  ,3.928e+05   ,448.25  ,913.58  ,1282.9
180  ,2.508e+05   ,448.39  ,928.43  ,1290.4
181  ,6.281e+03   ,407.43  ,927.93  ,1282.9
182  ,6.415e+03   ,407.42  ,928.43  ,1283.4
183  ,3.646e+04   ,407.3  ,928.43  ,1290.4
184  ,2.580e+04   ,407.43  ,913.58  ,1282.9
185  ,3.786e+04   ,426.26  ,928.43  ,1283.4
186  ,4.305e+04   ,426.25  ,927.93  ,1282.9
187  ,1.186e+05   ,426.25  ,913.58  ,1282.9
188  ,1.619e+04   ,426.39  ,928.43  ,1290.4
189  ,6.527e+05   ,443.84  ,903.82  ,1281.9
190  ,6.073e+05   ,448.35  ,909.63  ,1281.9
191  ,4.289e+03   ,403.25  ,927.93  ,1281.9
192  ,8.148e+03   ,403.25  ,911.39  ,1281.9
193  ,5.558e+02   ,384.82  ,927.93  ,1281.9
194  ,1.303e+03   ,394.47  ,920.85  ,1281.9
195  ,5.054e+02   ,391.41  ,916.68  ,1281.9
196  ,3.608e+02   ,381.76  ,923.76  ,1281.9
197  ,3.615e+02   ,385.84  ,910.8  ,1281.9
198  ,5.971e+02   ,391.65  ,913.25  ,1281.9
199  ,1.146e+05   ,448.05  ,896.9  ,1281.9
200  ,2.037e+03   ,455.31  ,896.9  ,1281.9
201  ,4.112e+03   ,457.31  ,898.9  ,1281.9
202  ,8.633e+04   ,457.31  ,926.43  ,1281.9
203  ,8.304e+04   ,457.71  ,927.93  ,1281.9
